AS number,IP Address range,Government agency or state owned company,Additional Comments,Date of first RIPE rr change by AS,Date of first RIPE rr change by IP
AS44586,83.228.89.0/24,MDAAR,Executive Agency 'Electronic Communication Networks and Information Systems',2008-02-08,2007-11-20
AS44586,213.91.173.0/24,Ministry of State Administration,Executive Agency 'Electronic Communication Networks and Information Systems',2008-02-08,2008-02-05
AS31369,193.25.162.0/23,National Social Security Institute,,2004-04-27,2004-02-26
AS61082,82.119.70.0/24,Ministerstvo na Truda i Socialnata Politika,,2013-02-21,2012-12-03
AS35503,89.252.196.0/24,Ministry of Education and Science,Ministry of Education Youth and Science,2005-08-23,2013-03-25
AS35503,193.192.56.0/23,Ministry of Education Youth and Science,Ministry of Education Youth and Science,2005-08-23,2005-08-22
AS50866,84.22.10.0/24,Ministry of Foreign Affairs,,2010-04-12,2010-04-08
AS49950,212.122.166.0/24,Ministry of Internal Affairs, Ministry of Interior of Republic of Bulgaria,2009-10-16,2007-09-24
AS25554,212.122.164.0/24,Ministry of Finances,Ministry of Finance of Bulgarian Government,2003-01-09,
AS25554,212.122.165.0/24,Ministry of Finances,Ministry of Finance of Bulgarian Government,2003-01-09,
AS42191,195.110.24.0/23,State Fund Agriculture,,2007-01-11,
AS42191,195.110.24.0/24,State Fund Agriculture,,2007-01-11,
AS42191,195.110.25.0/24,State Fund Agriculture,,2007-01-11,
AS12564,46.10.214.0/24,Ministerial council BG Sofia,Bulgarian Government,2004-04-26,2011-10-20
AS12564,46.10.215.0/24,Ministerial council BG Plovdiv,Bulgarian Government,2004-04-26,2011-10-20
AS12564,212.122.160.0/24,Bulgarian Government Network,Bulgarian Government,2004-04-26,
AS12564,212.122.161.0/24,Bulgarian Government Network,Bulgarian Government,2004-04-26,
AS12564,212.122.162.0/24,Bulgarian Government Network,Bulgarian Government,2004-04-26,
AS12564,212.122.163.0/24,Bulgarian Government Network,Bulgarian Government,2004-04-26,
AS12564,212.122.168.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.169.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.170.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.171.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.172.0/24,Municipality network,Bulgarian Government,2004-04-26,2009-07-15
AS12564,212.122.173.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.175.0/24,Internet access for small customers,Bulgarian Government,2004-04-26,2010-02-24
AS12564,212.122.176.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.177.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.178.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.179.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.180.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.181.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.182.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.183.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.184.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.185.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.186.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.187.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.188.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.189.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS12564,212.122.190.0/24,Council of Ministers,Bulgarian Government,2004-04-26,
AS13124,213.240.249.176/28,Registry Agency,AS13124 is part of Blizoo 213.240.224.0/19 network,,2008-08-28
